job_title,matched_standard_role
"CHIEF OFFICER, SALES/BUSINESS DEVELOPMENT",Chief Sales Officer
CHRO/HR Officer,Business Planner
"CIO, Director",Chief Information Officer
CIO/Architect,Chief Information Officer
"CIO Unit, IT Planning Department, CIO Group",Chief Information Officer
CIO Assistant,Chief Information Officer
CISM Miscellaneous,Chief Information Officer
Office of the CISO,Chief Information Officer
"Planning & Development Department, CI Division",Business Planner
CLOUD COE/IT ARCHITECT,Architect
CLOUD General Employees and Staff,Cloud Engineer
CMC Regulatory Affairs Department,Pharmaceutical Scientist
CMC Development Dept.,Developer
COO Executive Officer,Chief Operations Officer
CRM,Information Technology Generalist
CRM Technical Support,Technical Support Representative
General Manager of CRM Solution Sales Department and Manager of CRM Solution Sales Section,Sales Manager
CRM Development Office/General Manager,Customer Relations Manager
CS General Employees and Staff,Administrative Employee
General Manager of the CSDX Promotion Department (and General Manager) of the Risk Management Department,Manager Risk Management
CSIRT General Manager and CSIRT General Manager,Business Planner
"CSIRT General Manager, Deputy General Manager",Research Employee
CSR room,Engineering Manager
CSR Officer,Customer Service Specialist
CSR-related,Customer Service Specialist
CS Director,Director of Customer Service
CS Division,Customer Service Specialist
"CS Planning Division, Service Planning Department",Customer Service Specialist
"CS Headquarters, Board Forging Service Sales Department",Research Employee
"CS 2nd Development Division, System Infrastructure Department, Network Development Office, General Manager",Engineering Manager
CS Research Center,Research Employee
CS Dept.,Customer Service Specialist
CTC System Management,System Administrator
CTO (Highest Technical Responsibility) TCR,Chief Technology Officer
"CTO CMO Executive Officer, General Manager, Argo Science Division",Chief Technology Officer
CTO CSO エバンジェリスト OKINAWA INNOVATION LAB長,Chief Information Technology Architect
CTO & Vice President,Chief Technology Officer
CTO Technical Director,Chief Technology Officer
CTO/Director TCR,Chief Technology Officer
GIGA School Supporter,Education Professional
In charge of GIGA School,Education Professional
GIS Product Specialist,Information Technology Generalist
CANCELING GITHUB TEAM AND GITHUB COPILOT,Information Technology Generalist
PROMOTING THE INTRODUCTION OF GITHUB,Developer
GITHUB MEMBERS,Developer
"ENGINEERING MANAGER, GLOBAL-SMALL-FOUNDATION",Engineering Manager
"Deputy General Manager, GM/DX Division",Information Technology Manager
Assistant GM,Information Technology Manager
GPQ Chief Examiner,Administration Manager
GR Length,Information Technology Manager
GTM Manager,Information Technology Manager
GX Consultant,Consultant
Head of GX-related new business,Business Development Manager
G Length,Human Resources Manager
HCM Service Planning & Development Department,Consultant
HR TECH Manager,Information Technology Manager
HR Manager,Human Resources Manager
HR/GA Senior Advisor,Information Technology Generalist
Head of HRD,Human Resources Manager
"Engineer, HRMOS Product Division",Engineer
HR Consulting,Consultant
HR Support Manager,Human Resources Manager
HR Division,Human Resources Specialist
HTT Practice Promotion Navigator,Information Technology Generalist
HW Development,Hardware Engineer
IA Division Architect,Architect
"Chief, Cloud Native Development Department, IBM Consulting Business Unit",Information Technology Generalist
"ICAS Company Planning Office, Fiber Materials Group",Information Technology Generalist
ICS Division,Administrative Employee
ICT Specialist,Information Technology Generalist
ICT Promotion Office,Information Technology Generalist
Promotion of ICT and DX,Information Technology Generalist
"General Manager, ICT-CSW Division",Information Technology Manager
"Director, ICTS Department",Information Technology Manager
ICT Architect,Architect
ICT Advisors,Information Technology Generalist
ICT Infrastructure Vendors,Information Technology Generalist
ICT Infrastructure,Information Technology Generalist
ICT Infrastructure Management,Information Technology Generalist
ICT Evangelist,Educational Technology
ICT Engineer,Information Technology Engineer
ICT Engineer Service Dept.,Information Technology Engineer
ICT Engineer Service Department Engineer,Information Technology Engineer
ICT Coordinator,Information Technology Generalist
ICT Consultant,Technology Consultant
ICT Services,Service Support Specialist
ICT Service Division,Service Support Specialist
ICT Supporters,Support Specialist
ICT Supporter,Support Specialist
ICT Support,Support Specialist
ICT Support TCR,Support Specialist
ICT Support Services,Support Specialist
ICT Support Services,Information Technology Generalist
ICT Sales,Sales Employee
ICT Security,Information Technology Generalist
ICT Center,Sales Employee
ICT Solutions,Information Technology Generalist
"ICT Solution Division, ICT Solution System Dept. 1, Solution System Dept. 2",Information Technology Generalist
ICT Solution Dept. ICT Solution Dept.,Information Technology Generalist
"General Manager, ICT Solutions Division",Information Technology Manager
"ICT Solutions Division, CIS Department, General Employees",Information Technology Generalist
ICT Solutions Dept.,Information Technology Generalist
"Assistant Manager, ICT Solutions Department",Information Technology Manager
"Group Manager, ICT Solutions Department",Information Technology Manager
ICT Solutions Dept. Solution Development G General,Information Technology Generalist
ICT Business,Information Technology Generalist
Promotion of ICT platform,Information Technology Generalist
ICT Platform Dept.,Information Technology Generalist
ICT Volunteers,Volunteer
"ICT Management Department, Planning Division Manager",Information Technology Manager
"ICT Management Department, West Japan System Management Unit Chief",Information Technology Administrator
ICT Leader,Information Technology Manager
"General Manager, ICT Workplace Enhancement Promotion Department",Information Technology Manager
ICT Business,Information Technology Generalist
ICT business in general,Information Technology Generalist
"ICT Business Headquarters, ICT Sales Division 1",Information Technology Generalist
"ICT Business Division, Cloud Software Promotion Division, Business Software Promotion Department, Marketing Department, Section 1, Section Manager",Information Technology Generalist
ICT Business Division,Information Technology Generalist
ICT Division,Information Technology Generalist
"ICT Division, Marketing Center",Marketing Specialist
"ICT Division, General Employees and Staff",Information Technology Generalist
ICT Planning,Information Technology Generalist
ICT Planning C,Information Technology Generalist
Member of ICT Planning Group,Information Technology Generalist
Promotion of ICT planning,Information Technology Generalist
ICT Planning Dept.,Information Technology Generalist
ICT Contract Development Division,Developer
ICT Committee,Board Member
ICT Chairperson,Information Technology Manager
ICT Learning Support Worker,Technology Instructor
ICT Implementation Management,Administrative Employee
Director of ICT,Information Technology Manager
ICT Strategy,Business Strategist
ICT Strategy Planning,Information Technology Generalist
ICT Strategy Dept.,Business Strategist
"Chief, ICT Strategy Department",Planning Manager
ICT Technical Support,Information Technology Generalist
ICT Technology Strategy Center,Information Technology Generalist
ICT Officer,Information Technology Generalist
"ICT Staff, Faculty",Information Technology Generalist
ICT Specialist,Information Technology Manager
Manager in charge of ICT,Information Technology Manager
ICT Class Support Staff,Technical Support Representative
